Star,[Fe/H],[TiI/Fe],[CaI/Fe],[MgI/Fe],[CuI/Fe],[Al/Mg],[BaII/Fe],[ZnI/Fe],[CeII/Fe],[Mg/Ti],[Y/Ba],[Y/Zn],Teff,logg,vtur,Age,pop,log_S_N
HD24085,0.17,0.02,0.05,-0.01,0.03,-0.07,-0.02,-0.03,-0.02,-0.03,0.06,0.07,6065,4.47,1.22,3.277,thin,2.0530784434834195
HD24112,0.16,-0.02,0.03,-0.02,-0,0.01,-0.09,-0.02,-0.17,0,0.03,-0.039999999999999994,6175,4.35,1.26,2.723,thin,2.5575072019056577
HD24331,-0.3,0.12,-0.02,-0.02,0.04,0.09000000000000001,0.01,-0.06,0.05,-0.13999999999999999,-0.01,0.06,4948,4.56,0.46,5.655,thin,2.387389826338729
HD24558,-0.47,0.16,0.11,0.11,0.01,0.05,-0.07,0.03,0.01,-0.05,-0.07999999999999999,-0.18,5274,4.4,0.67,9.851,thin,2.2430380486862944
HD24633,-0.04,0.21,0.08,0.13,0.05,0.07,-0.02,0.04,0.12,-0.07999999999999999,0.01,-0.05,5276,4.36,0.59,7.565,high,2.5514499979728753
HD24892,-0.32,0.2,0.1,0.16,0.04,0.04999999999999999,0.02,0.14,0.07,-0.04000000000000001,-0.01,-0.13,5363,3.99,0.88,10.167,thick,2.5538830266438746
HD25061,0.07,0.03,0.01,-0.03,0.02,0.08,-0.06,0.05,-0.03,-0.06,0.049999999999999996,-0.060000000000000005,5243,4.42,0.8,5.398,thin,2.2600713879850747
HD25105,-0.15,0.07,0.07,-0,-0.03,0.02,0.04,0.01,0.14,-0.07,-0.02,0.01,5316,4.47,0.77,5.038,thin,2.4668676203541096
HD25120,-0.21,0.09,0.12,0.02,-0.05,0,0.16,0.01,0.23,-0.06999999999999999,-0.13,0.019999999999999997,5104,4.37,0.85,5.616,thin,2.591064607026499
HD25171,-0.11,0.02,0.08,0.02,-0.08,-0.16,0.03,-0.05,-0.07,0,-0.06,0.020000000000000004,6160,4.43,1.22,4.042,thin,2.3654879848909
HD25357,-0.03,0.07,-0.04,-0.11,-0.04,0.039999999999999994,0.06,-0.03,0.08,-0.18,0.010000000000000009,0.1,4916,4.35,0.47,5.577,thin,2.12057393120585
HD25565,0.03,0.09,0.02,0.05,0.04,0.03,-0.05,-0.09,0.04,-0.039999999999999994,-0.020000000000000004,0.01999999999999999,5212,4.47,0.8,4.218,thin,2.161368002234975
HD25587,-0.12,0.13,0.11,-0.18,-0.04,0.13,0.03,-0.1,0.22,-0.31,-0.03,0.1,6258,4.61,1.78,3.922,thin,1.9030899869919435
